doi;title;date;keywords
10.1002/dvdy.520;Axolotl: A Resourceful Vertebrate Model for Regeneration and Beyond.;20220730;[]
10.1186/s13005-022-00331-4;Puricelli biconvex arthroplasty as an alternative for temporomandibular joint;20220729;['Ambystoma mexicanum', 'aging', 'cancer', 'immune system', 'regenerative medicine', 'transgenesis']
10.1007/s00417-022-05770-y;Treat and extend regimen for diabetic macular oedema-a systematic review and;20220729;['Biomaterials', 'Long-term follow-up', 'PMMA', 'Prostheses', 'Puricelli biconvex arthroplasty', 'TMJ ankylosis', 'Temporomandibular joint reconstruction']
10.1038/s41598-022-17371-0;Collagen-depletion strategies in dentin as alternatives to the hybrid layer;20220729;['Aflibercept', 'Bevacizumab', 'Diabetic macular oedema', 'Meta-analysis', 'Ranibizumab', 'Systematic review', 'Treat and extend']
10.1016/j.anl.2022.06.006;The association of food intake on the development of hearing impairment after;20220729;[]
10.1124/jpet.121.000467;Cyclosporine A Downregulates Selenoprotein P Expression via a Signal Transducer;20220729;['Beverage', 'Food', 'Hearing impairment', 'Mushroom']
10.1016/j.mad.2022.111712;Characteristics of geriatric rehabilitation inpatients based on their frailty;20220729;[]
10.1242/dev.200712;Time to go: neural crest cell epithelial-to-mesenchymal transition.;20220729;['Frailty', 'Geriatric assessment', 'Older people', 'Rehabilitation', 'Subacute care']
10.3389/froh.2022.971191;Editorial: Cellular Mechanisms of Aging and Longevity in Oral Health and Disease.;20220729;['Cadherins', 'EMT', 'Morphogens', 'Neural crest', 'Post-translational modifications', 'Transcription factors']
10.3389/fpubh.2022.860974;Role of the Social Support and Health Status in Living Arrangement Preference of;20220729;"['Alzheimer&#x27;s disease', 'inflammaging', 'microbiome', 'periodontitis', 'senescence']"
10.3389/fphys.2022.872562;Potential Roles of PTEN on Longevity in Two Closely Related Argopecten Scallops;20220729;['CLHLS', 'elderly', 'factors', 'health status', 'living arrangement preference', 'social support']
10.1186/s12877-022-03295-x;Interpretable classifiers for prediction of disability trajectories using a;20220728;['Argopecten scallops', 'PI3K/Akt/FoxO', 'PTEN', 'bivalve', 'genomic stability', 'nutrition restriction']
10.1016/j.mcn.2022.103760;The AICD fragment of APP initiates a FoxO3a mediated response via FANCD2.;20220728;['ADL limitations', 'Explanations', 'Functional disability', 'Machine learning', 'Trajectories']
